id,x,y,z,hit,net,bounce,time,shotId
1065362,14.815,-1.330,0.824,1,0,0,5.582,386024
1065363,-4.698,2.901,0.037,0,0,1,1.508,386023
1065364,14.333,-1.819,0.037,0,0,1,5.774,386024
1065365,-12.516,4.642,1.432,1,0,0,1.853,386025
1065366,-0.001,-0.155,1.283,0,1,0,2.598,386025
1065367,4.149,-1.930,0.037,0,0,1,2.909,386025
1065368,7.963,-3.856,0.703,1,0,0,3.436,386026
1065369,0.013,-3.670,1.278,0,1,0,3.723,386026
1065370,-9.033,-3.520,0.037,0,0,1,4.126,386026
1065371,-15.389,-3.265,1.021,1,0,0,4.595,386027
1065372,11.389,0.905,2.867,1,0,0,0.865,386028
1065373,0.013,0.472,1.188,0,1,0,1.092,386028
1065374,-6.060,0.144,0.037,0,0,1,1.235,386028
1065375,11.385,0.650,2.850,1,0,0,0.960,386029
1065376,11.393,-1.174,2.859,1,0,0,0.602,386030
1065377,0.009,2.153,1.194,0,1,0,0.867,386030
1065378,-5.683,3.612,0.037,0,0,1,1.026,386030
1065379,-15.668,5.957,1.129,1,0,0,1.463,386031
1065380,-0.008,-1.134,2.399,0,1,0,2.046,386031
1065381,10.683,-5.941,0.037,0,0,1,2.604,386031
1065382,11.379,-1.150,2.741,1,0,0,0.980,386032
1065383,0.023,2.216,1.082,0,1,0,1.216,386032
1065384,-5.525,3.810,0.037,0,0,1,1.353,386032
1065385,11.380,0.828,2.738,1,0,0,1.001,386033
1065386,0.006,-2.233,1.177,0,1,0,1.261,386033
1065387,-5.478,-3.942,0.037,0,0,1,1.414,386033
1065388,11.380,0.888,2.702,1,0,0,1.062,386034
1065389,0.012,0.147,1.207,0,1,0,1.295,386034
1065390,-6.193,-0.299,0.037,0,0,1,1.448,386034
1065391,11.380,0.814,2.720,1,0,0,0.993,386035
1065392,0.021,0.228,1.039,0,1,0,1.223,386035
1065393,-5.084,-0.109,0.037,0,0,1,1.346,386035
1065394,-12.254,-0.675,1.232,1,0,0,1.607,386036
1065395,-4.234,-0.338,0.037,0,0,1,2.133,386036
1065396,11.394,-1.206,2.698,1,0,0,0.852,386037
1065397,0.003,0.163,1.147,0,1,0,1.081,386037
1065398,-6.073,0.814,0.037,0,0,1,1.227,386037
1065399,-12.043,1.380,0.938,1,0,0,1.438,386038
1065400,-0.011,0.774,2.016,0,1,0,1.937,386038
1065401,10.243,0.300,0.037,0,0,1,2.487,386038
1065402,12.163,0.222,0.841,1,0,0,2.680,386039
1065403,0.001,1.406,1.397,0,1,0,3.305,386039
1065404,-4.790,1.940,0.037,0,0,1,3.609,386039
1065405,-11.460,2.532,0.993,1,0,0,4.293,386040
1065406,-0.015,2.699,1.434,0,1,0,4.638,386040
1065407,10.211,3.037,0.037,0,0,1,5.034,386040
1065408,15.121,3.150,0.898,1,0,0,5.360,386041
1065409,0.005,2.130,1.923,0,1,0,6.143,386041
1065410,-8.238,1.446,0.037,0,0,1,6.718,386041
1065411,-10.937,1.228,0.823,1,0,0,7.103,386042
1065412,-0.001,-2.098,1.223,0,1,0,7.903,386042
1065413,3.344,-3.300,0.037,0,0,1,8.208,386042
1065414,-11.381,-0.823,2.878,1,0,0,0.756,386043
1065415,-0.015,2.359,1.225,0,1,0,1.033,386043
1065416,5.465,4.213,0.037,0,0,1,1.196,386043
1065417,-11.383,1.034,2.923,1,0,0,1.023,386044
1065418,-0.011,-2.398,1.378,0,1,0,1.268,386044
1065419,-11.383,1.364,2.838,1,0,0,0.867,386045
1065420,7.121,-4.392,0.037,0,0,1,1.454,386044
1065421,-0.016,-2.058,1.323,0,1,0,1.221,386045
1065422,4.789,-3.133,0.037,0,0,1,1.403,386045
1065423,16.381,-5.760,1.198,1,0,0,2.174,386046
1065424,0.007,-0.758,2.056,0,1,0,2.750,386046
1065425,-8.782,1.465,0.037,0,0,1,3.174,386046
1065426,-12.899,2.541,1.386,1,0,0,3.540,386047
1065427,-0.004,-0.364,1.035,0,1,0,3.960,386047
1065428,5.242,-1.609,0.037,0,0,1,4.173,386047
1065429,14.895,-3.830,0.447,1,0,0,4.848,386048
1065430,0.005,0.005,2.189,0,1,0,5.385,386048
1065431,-11.475,3.226,0.037,0,0,1,5.966,386048
1065432,-13.260,3.741,0.839,1,0,0,6.132,386049
1065433,-0.003,-0.102,1.892,0,1,0,6.652,386049
1065434,9.233,-2.682,0.037,0,0,1,7.130,386049
1065435,12.733,-3.804,1.176,1,0,0,7.462,386050
1065436,0.008,1.522,1.671,0,1,0,7.935,386050
1065437,-7.181,4.448,0.037,0,0,1,8.287,386050
1065438,-11.393,-0.589,2.861,1,0,0,0.937,386051
1065439,-0.009,0.009,1.145,0,1,0,1.224,386051
1065440,4.658,0.509,0.037,0,0,1,1.364,386051
1065441,16.569,2.191,1.414,1,0,0,1.977,386052
1065442,-11.380,1.246,2.873,1,0,0,0.823,386053
1065443,-0.020,-1.808,1.043,0,1,0,1.087,386053
1065444,4.474,-2.839,0.037,0,0,1,1.210,386053
1065445,11.301,-4.331,1.330,1,0,0,1.500,386054
1065446,-5.827,1.895,0.198,1,0,0,2.417,386055
1065447,-0.006,2.077,1.439,0,1,0,2.755,386055
1065448,11.581,3.193,0.037,0,0,1,3.582,386055
1065449,12.483,3.401,0.208,1,0,0,3.660,386056
1065450,-0.628,-0.500,1.669,1,0,0,5.283,386057
1065451,-0.024,-0.627,1.463,0,1,0,5.297,386057
1065452,4.054,-1.487,0.037,0,0,1,5.392,386057
1065453,-11.383,-0.852,2.874,1,0,0,0.722,386058
1065454,-0.002,2.068,1.060,0,1,0,0.994,386058
1065455,4.514,3.453,0.037,0,0,1,1.125,386058
1065456,11.758,5.789,1.472,1,0,0,1.458,386059
1065457,-6.130,1.879,0.855,1,0,0,2.362,386060
1065458,-0.006,0.394,1.304,0,1,0,2.713,386060
1065459,8.211,-1.773,0.037,0,0,1,3.285,386060
1065460,11.764,-2.980,0.531,1,0,0,3.729,386061
1065461,0.005,1.476,4.280,0,1,0,4.752,386061
1065462,-7.698,4.938,0.037,0,0,1,5.640,386061
1065463,-11.387,1.266,2.735,1,0,0,1.292,386062
1065464,-11.386,-0.693,2.709,1,0,0,1.276,386063
1065465,-0.001,2.472,1.306,0,1,0,1.539,386063
1065466,6.236,4.470,0.037,0,0,1,1.717,386063
1065467,-11.397,1.488,2.721,1,0,0,1.088,386064
1065468,-0.009,-1.725,1.354,0,1,0,1.425,386064
1065469,5.146,-2.844,0.037,0,0,1,1.610,386064
1065470,10.032,-4.027,1.420,1,0,0,1.892,386065
1065471,0.008,-4.088,2.046,0,1,0,2.444,386065
1065472,-9.567,-4.516,0.037,0,0,1,3.128,386065
1065473,-11.393,-0.537,2.686,1,0,0,1.026,386066
1065474,-0.012,0.218,1.177,0,1,0,1.338,386066
1065475,4.608,0.756,0.037,0,0,1,1.491,386066
1065476,10.142,1.277,1.462,1,0,0,1.788,386067
1065477,0.008,1.538,1.241,0,1,0,2.150,386067
1065478,-7.213,1.591,0.037,0,0,1,2.466,386067
1065479,-11.832,1.602,0.809,1,0,0,2.799,386068
1065480,-0.010,-1.714,1.836,0,1,0,3.249,386068
1065481,9.512,-4.310,0.037,0,0,1,3.723,386068
1065482,-11.385,-0.810,2.689,1,0,0,1.115,386069
